region,ownership,brand,2014,2015,2016,2017,2018,2019,2020,2021
Germany,Volkswagan,Volkswagan,655399,684595,655023,633057,642409,666061,524347,489172
Germany,Volkswagan,Audi,257682,267308,28776,281735,253344,266636,213617,181636
Germany,Volkswagan,Skoda,173501,179880,186105,194174,196917,208099,181132,149809
Germany,Volkswagan,SEAT,93094,94611,97583,108158,121673,138603,116324,108704
Germany,Volkswagan,Porsche,23875,27868,29131,28339,27768,30408,26078,28490
Germany,Volkswagan,Bentley,411,502,791,1288,803,724,661,725
Germany,Volkswagan,Lamborghini,162,222,252,294,467,670,728,214
Germany,Volkswagan,MAN (TRATON),29,0,0,16,0,13,339,768
Germany,Toyota,Toyota,70257,65923,71773,81071,83913,84479,77162,71883
Germany,Toyota,Lexus,1328,1682,2456,3002,2766,3587,3530,3116
Germany,Nissan and Renault,Nissan,62476,69704,72515,67997,50345,39478,34763,26206
Germany,Nissan and Renault,Infiniti,1015,1055,2184,1230,756,250,80,0
Germany,Nissan and Renault,Renault,105293,110038,125275,135449,130807,131134,125316,105942
Germany,Nissan and Renault,Dacia,48862,45740,49093,62634,71698,79992,50681,40334
Germany,Nissan and Renault,LADA,0,1178,1678,2635,2298,1995,1669,1413
Germany,Nissan and Renault,Alpine,0,0,0,0,214,324,166,214
Germany,GM,Chevrolet,5482,675,735,1013,1090,1371,8,0
Germany,GM,Cadillac,72,224,300,496,589,378,36,249
Germany,Hyundai and Kia,Hyundai,99665,108296,107082,108427,114782,129380,104898,106224
Germany,Hyundai and Kia,Kia,53523,55656,60473,64006,65760,69560,64275,65707
Germany,Ford,Ford,153188,224152,238960,245369,252078,279558,194158,126260
Germany,Honda,Honda,208788,21035,26275,20154,18627,15634,11657,7883
Germany,Tesla,Tesla,817,1582,1904,3331,1900,10710,16693,39712
Germany,FCA,Fiat,68102,70717,77334,84318,81458,88999,89142,82752
Germany,FCA,Jeep,10267,14817,14782,13390,17120,16563,15687,13493
Germany,FCA,Alfa Romeo,3391,2788,4124,5946,5380,4120,3246,2990
Germany,FCA,Ferrari,620,638,598,536,688,683,848,1250
Germany,FCA,Maserati,1102,1094,1651,1838,1528,936,632,672
Germany,FCA,Peugeot,54068,54154,56721,70890,68208,72675,55397,52652
Germany,FCA,Citroen,51985,45950,48725,52723,55204,58828,48936,42626
Germany,FCA,Opel,218407,228710,243401,243331,227756,215723,146203,161836
Germany,FCA,DS,0,5437,4377,3309,3732,2846,2773,2069
Germany,Suzuki,Suzuki,27827,30899,31325,38156,37517,40610,22402,27363
Germany,Daimler Group,Mercedes-Benz,272523,286840,311264,326145,319141,339154,303148,225322
Germany,Daimler Group,Smart,22407,37807,37298,36723,41092,49138,16051,24023
Germany,BMW,BMW,238137,248448,261781,261459,264150,278351,240227,221551
Germany,BMW,MINI,33183,39714,44010,46705,50494,50019,44152,42938
Germany,BMW,Rolls-Royce,85,82,158,174,146,196,121,75
Germany,Mazda,Mazda,52456,58152,63293,67230,67379,71609,44313,38106
Germany,Geely,Volvo Cars,31842,36043,39871,40790,45349,53329,47187,43609
Germany,Geely,Lotus,,132,141,178,182,149,171,178
Germany,Mitsubishi,Mitsubishi,24108,34422,37204,43324,50773,52128,44977,36922
Germany,Subaru,Subaru,6213,6540,6961,7434,7269,5835,5406,4669
Germany,Tata,Land Rover,14669,18207,22791,23655,18141,17347,12983,11657
Germany,Tata,Jaguar,4229,4985,8713,8984,9500,8702,6992,4265
Germany,Mahindra,Ssangyong,1078,2471,3395,3230,2434,2866,1712,1546
Germany,Aston Martin,Aston Martin,279,309,253,380,307,352,303,366
UK,Volkswagan,Volkswagan,213745,223765,207026,208462,203133,200771,148338,147826
UK,Volkswagan,Audi,158987,166709,177304,174982,143739,138924,107842,117953
UK,Volkswagan,Skoda,75488,74692,80374,79758,74724,75053,58693,55561
UK,Volkswagan,SEAT,53512,47654,47456,561301,62863,68798,45581,50714
UK,Volkswagan,Porsche,9151,12114,13096,14051,12437,15257,14284,13702
